image,detection_count,classes_detected,confidences
fridge_003.jpg,13,"broccoli, carrot, carrot, carrot, broccoli, carrot, carrot, carrot, carrot, carrot, carrot, carrot, carrot","0.810, 0.790, 0.566, 0.550, 0.452, 0.418, 0.380, 0.346, 0.318, 0.289, 0.264, 0.253, 0.252"
fridge_004.jpg,5,"surfboard, person, person, person, person","0.817, 0.656, 0.620, 0.421, 0.373"
fridge_006.jpg,1,bowl,0.551
fridge_007.jpg,15,"donut, donut, donut, donut, donut, donut, donut, bowl, donut, dining table, bowl, donut, bowl, donut, bowl","0.807, 0.801, 0.776, 0.763, 0.672, 0.631, 0.492, 0.484, 0.405, 0.385, 0.379, 0.325, 0.309, 0.271, 0.268"
fridge_008.jpg,1,orange,0.441
fridge_009.jpg,2,"person, bowl","0.706, 0.324"
fridge_011.jpg,4,"banana, apple, apple, apple","0.814, 0.601, 0.530, 0.417"
fridge_012.jpg,20,"bowl, bowl, apple, cup, bowl, donut, bowl, cup, donut, apple, bowl, bowl, donut, orange, orange, bowl, cup, cup, apple, orange","0.672, 0.627, 0.470, 0.460, 0.452, 0.443, 0.399, 0.396, 0.336, 0.335, 0.333, 0.322, 0.320, 0.320, 0.305, 0.305, 0.293, 0.285, 0.274, 0.271"
fridge_013.jpg,9,"potted plant, vase, potted plant, vase, couch, chair, potted plant, potted plant, potted plant","0.884, 0.830, 0.814, 0.654, 0.569, 0.567, 0.394, 0.383, 0.276"
fridge_014.jpg,20,"person, person, person, bottle, microwave, bottle, bottle, bowl, bowl, cup, bowl, bowl, bowl, cup, cup, bowl, cup, knife, bowl, knife","0.912, 0.904, 0.898, 0.821, 0.812, 0.749, 0.717, 0.715, 0.708, 0.568, 0.540, 0.482, 0.412, 0.412, 0.368, 0.345, 0.344, 0.321, 0.263, 0.262"
fridge_015.jpg,1,vase,0.810
fridge_016.jpg,1,broccoli,0.845
fridge_017.jpg,1,cat,0.890
fridge_018.jpg,6,"carrot, broccoli, orange, broccoli, carrot, broccoli","0.628, 0.500, 0.471, 0.385, 0.359, 0.331"
fridge_019.jpg,11,"apple, apple, knife, apple, cup, dining table, apple, apple, bowl, apple, spoon","0.678, 0.640, 0.632, 0.603, 0.601, 0.593, 0.518, 0.467, 0.420, 0.331, 0.296"
fridge_020.jpg,5,"dining table, bowl, bowl, bowl, bowl","0.846, 0.723, 0.687, 0.560, 0.295"
fridge_021.jpg,13,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple, apple, apple, apple","0.721, 0.656, 0.641, 0.633, 0.617, 0.579, 0.555, 0.542, 0.445, 0.442, 0.408, 0.397, 0.266"
fridge_022.jpg,2,"dining table, carrot","0.516, 0.385"
fridge_023.jpg,7,"bowl, bowl, spoon, dining table, fork, carrot, carrot","0.833, 0.649, 0.465, 0.384, 0.377, 0.271, 0.269"
fridge_025.jpg,3,"dining table, orange, orange","0.439, 0.385, 0.348"
fridge_026.jpg,6,"bowl, carrot, carrot, carrot, carrot, carrot","0.560, 0.532, 0.468, 0.363, 0.358, 0.300"
fridge_027.jpg,5,"banana, banana, banana, banana, banana","0.543, 0.417, 0.306, 0.303, 0.257"
fridge_028.jpg,20,"cup, dining table, cup, bowl, cup, bowl, bowl, bowl, cup, bowl, cup, cup, bowl, bowl, cup, bowl, cup, bowl, carrot, bowl","0.886, 0.843, 0.838, 0.671, 0.653, 0.645, 0.626, 0.604, 0.564, 0.547, 0.531, 0.529, 0.485, 0.483, 0.412, 0.412, 0.317, 0.315, 0.281, 0.279"
fridge_029.jpg,2,"dining table, knife","0.540, 0.367"
fridge_030.jpg,2,"fork, dining table","0.920, 0.607"
fridge_031.jpg,1,bowl,0.802
fridge_032.jpg,3,"pizza, pizza, pizza","0.714, 0.681, 0.565"
fridge_033.jpg,5,"wine glass, wine glass, bowl, dining table, sandwich","0.943, 0.771, 0.601, 0.480, 0.449"
fridge_034.jpg,2,"broccoli, dining table","0.580, 0.307"
fridge_035.jpg,10,"bowl, bowl, bowl, bowl, bowl, spoon, broccoli, dining table, bowl, fork","0.907, 0.818, 0.719, 0.670, 0.649, 0.620, 0.578, 0.576, 0.518, 0.465"
fridge_036.jpg,6,"bowl, pizza, bowl, dining table, knife, banana","0.862, 0.561, 0.506, 0.421, 0.353, 0.335"
fridge_040.jpg,2,"cake, dining table","0.763, 0.316"
